Kanji,StrokeCount,MeaningOne,MeaningTwo,MeaningThree,MeaningFour,MeaningFive,MeaningSix,MeaningSeven,MeaningEight,MeaningNine,MeaningTen
挙,10,raise,plan,project,behavior,actions,,,,,
渠,12,ditch,canal,lock,,,,,,,
虚,11,void,emptiness,unpreparedness,crack,fissure,untruth,,,,
許,11,permit,approve,,,,,,,,
距,12,long-distance,spur,fetlock,,,,,,,
鋸,16,saw,,,,,,,,,
漁,14,fishing,fishery,,,,,,,,
禦,17,defend,protect,resist,ward,,,,,,
魚,11,fish,,,,,,,,,
亨,7,pass,go,,,,,,,,
享,8,enjoy,receive,undergo,answer,take,get,catch,,,
京,8,capital,10**16,,,,,,,,
侠,8,tomboy,chivalry,,,,,,,,
僑,14,expatriate,person,temporary,,,,,,,
兇,6,wickedness,,,,,,,,,
競,20,emulate,compete,bid,sell,bout,contest,race,,,
共,6,together,both,neither,all,and,alike,with,,,
凶,4,villain,evil,bad,disaster,,,,,,
協,8,co-,cooperation,,,,,,,,
匡,6,correct,save,assist,,,,,,,
卿,12,you,lord,secretary,state,,,,,,
叫,6,shout,exclaim,yell,,,,,,,
喬,12,high,boasting,,,,,,,,
境,14,boundary,border,region,,,,,,,
峡,9,gorge,ravine,,,,,,,,
強,11,strong,,,,,,,,,
彊,16,strong,,,,,,,,,
怯,8,cowardice,wince,flinch,hesitate,waver,,,,,
恐,10,fear,dread,awe,,,,,,,
恭,10,respect,reverent,,,,,,,,
挟,9,pinch,between,,,,,,,,
教,11,teach,faith,doctrine,,,,,,,
橋,16,bridge,,,,,,,,,
況,8,condition,situation,,,,,,,,
狂,7,lunatic,insane,crazy,confuse,,,,,,
狭,9,cramped,narrow,contract,tight,,,,,,
矯,17,rectify,straighten,correct,reform,cure,control,pretend,falsify,,
胸,10,bosom,breast,chest,heart,feelings,,,,,
脅,10,threaten,coerce,,,,,,,,
興,16,entertain,revive,retrieve,interest,pleasure,,,,,
蕎,15,buckwheat,,,,,,,,,
郷,11,home,village,native,district,,,,,,
鏡,19,mirror,speculum,barrel-head,round,,,,,,
響,20,echo,sound,resound,ring,vibrate,,,,,
饗,22,banquet,,,,,,,,,
驚,22,wonder,be,frightened,amazed,,,,,,
仰,6,face-up,look,depend,seek,respect,revere,drink,take,,
凝,16,congeal,freeze,stiff,be,,,,,,
尭,8,high,far,,,,,,,,
暁,12,daybreak,dawn,in,,,,,,,
業,13,business,vocation,arts,performance,,,,,,
局,7,bureau,board,office,affair,conclusion,court,lady-in-waiting,her,,
曲,6,bend,music,melody,composition,pleasure,injustice,fault,curve,crooked,perverse
極,12,poles,settlement,conclusion,end,highest,electric,very,extremely,most,highly
玉,5,jewel,ball,,,,,,,,
桐,10,paulownia,,,,,,,,,
粁,9,kilometer,(kokuji),,,,,,,,
僅,12,a,,,,,,,,,
勤,12,diligence,become,serve,,,,,,,
均,7,level,average,,,,,,,,
巾,3,towel,hanging,width,cloth,,,,,,
錦,16,brocade,fine,honors,,,,,,,
斤,4,axe,1.32,catty,counter,axe,,,,,
欣,8,take,rejoice,,,,,,,,
欽,12,respect,revere,long,,,,,,,
琴,12,harp,koto,,,,,,,,
禁,13,prohibition,ban,forbid,,,,,,,
禽,13,bird,captive,capture,,,,,,,
筋,12,muscle,sinew,tendon,fiber,plot,plan,descent,,,
緊,15,tense,solid,hard,reliable,tight,,,,,
芹,7,parsley,,,,,,,,,
菌,11,germ,fungus,bacteria,,,,,,,
衿,9,neck,collar,lapel,,,,,,,
襟,18,collar,neck,lapel,one's,,,,,,
謹,17,discreet,reverently,humbly,,,,,,,
近,7,near,early,akin,tantamount,,,,,,
金,8,gold,,,,,,,,,
吟,7,versify,singing,recital,,,,,,,
銀,14,silver,,,,,,,,,
九,2,nine,,,,,,,,,
倶,10,both,together,alike,,,,,,,
句,5,phrase,clause,sentence,passage,paragraph,counter,,,,
区,4,ward,district,,,,,,,,
狗,8,puppy,dog,,,,,,,,
玖,7,beautiful,nine,,,,,,,,
矩,10,ruler,carpenter's,,,,,,,,
苦,8,suffering,trial,worry,hardship,feel,scowl,,,,
躯,11,body,corpse,tree,,,,,,,
駆,14,drive,run,gallop,advance,inspire,impel,,,,
駈,15,run,gallop,advance,,,,,,,
駒,15,pony,horse,colt,,,,,,,
具,8,tool,utensil,means,possess,ingredients,counter,suits,sets,,
愚,13,foolish,folly,absurdity,stupid,,,,,,
虞,13,fear,uneasiness,anxiety,concern,expectation,consideration,,,,
喰,12,eat,drink,receive,(kokuji),,,,,,
空,8,empty,sky,void,vacant,vacuum,,,,,
偶,11,accidentally,even,couple,man,same,,,,,
寓,12,temporary,imply,suggest,,,,,,,
遇,12,meet,encounter,interview,treat,entertain,receive,deal,,,
隅,12,corner,nook,,,,,,,,
串,7,spit,skewer,,,,,,,,
櫛,17,comb,,,,,,,,,
釧,11,bracelet,,,,,,,,,
屑,10,rubbish,junk,trash,waste,scraps,,,,,
屈,8,yield,bend,flinch,submit,,,,,,
窟,13,cavern,,,,,,,,,
沓,8,shoes,boots,,,,,,,,
靴,13,shoes,,,,,,,,,
轡,22,bit,,,,,,,,,
窪,14,depression,cave,sink,become,,,,,,
熊,14,bear,,,,,,,,,
隈,12,corner,nook,recess,,,,,,,
粂,9,used,(kokuji),,,,,,,,
栗,10,chestnut,,,,,,,,,
繰,19,winding,reel,spin,turn,look,refer,,,,
桑,10,mulberry,,,,,,,,,
鍬,17,hoe,,,,,,,,,
勲,15,meritorious,merit,,,,,,,,
君,7,mister,you,ruler,male,,,,,,
薫,16,send,fragrant,be,smoke,,,,,,
訓,10,instruction,Japanese,explanation,read,,,,,,
群,13,flock,group,crowd,herd,swarm,cluster,,,,
軍,9,army,force,troops,war,battle,,,,,
郡,10,county,district,,,,,,,,
卦,8,a,,,,,,,,,
袈,11,a,,,,,,,,,
祁,7,intense,large,,,,,,,,
係,9,person,connection,duty,concern,,,,,,
傾,13,lean,incline,tilt,trend,wane,sink,ruin,bias,,
刑,6,punish,penalty,sentence,punishment,,,,,,
兄,5,elder,big,,,,,,,,
啓,11,disclose,open,say,,,,,,,
圭,6,square,corner,angle,edge,,,,,,
珪,10,jade,,,,,,,,,
型,9,mould,type,model,,,,,,,
契,9,pledge,promise,vow,,,,,,,
形,7,shape,form,style,,,,,,,
径,8,diameter,path,method,,,,,,,
恵,10,favor,blessing,grace,kindness,,,,,,
慶,15,jubilation,congratulate,rejoice,be,,,,,,
慧,15,wise,,,,,,,,,
憩,16,recess,rest,relax,repose,,,,,,
掲,11,put,put,hoist,display,hang,publish,describe,,,
携,13,portable,carry,armed,bring,,,,,,
敬,12,awe,respect,honor,revere,,,,,,
景,12,scenery,view,,,,,,,,
桂,10,Japanese,cinnamon,,,,,,,,
渓,11,mountain,valley,,,,,,,,
畦,11,rice,furrow,rib,,,,,,,
稽,15,think,consider,,,,,,,,
系,7,lineage,system,,,,,,,,
経,11,sutra,longitude,pass,expire,warp,,,,,
継,13,inherit,succeed,continue,patch,graft,,,,,
繋,17,tie,fasten,chain,tether,connect,,,,,
罫,13,ruled,,,,,,,,,
茎,8,stalk,stem,,,,,,,,
荊,9,thorn,brier,whip,,,,,,,
蛍,11,lightning-bug,firefly,,,,,,,,
計,9,plot,plan,scheme,measure,,,,,,
詣,13,visit,arrive,attain,,,,,,,
警,19,admonish,commandment,,,,,,,,
軽,12,lightly,trifling,unimportant,,,,,,,
頚,14,neck,head,,,,,,,,
鶏,19,chicken,,,,,,,,,
芸,7,technique,art,craft,performance,acting,trick,stunt,,,
迎,7,welcome,meet,greet,,,,,,,
鯨,19,whale,,,,,,,,,
劇,15,drama,play,,,,,,,,
戟,12,halbert,arms,,,,,,,,
撃,15,beat,attack,defeat,conquer,,,,,,
激,16,violent,get,enraged,chafe,incite,,,,,
隙,13,crevice,fissure,discord,opportunity,leisure,,,,,
桁,10,beam,girder,spar,unit,,,,,,
傑,13,greatness,excellence,,,,,,,,
欠,4,lack,gap,fail,yawning,,,,,,
決,7,decide,fix,agree,appoint,,,,,,
潔,15,undefiled,pure,clean,righteous,gallant,,,,,
穴,5,hole,aperture,slit,cave,den,,,,,
結,12,tie,bind,contract,join,organize,do,fasten,,,
血,6,blood,,,,,,,,,
訣,11,separation,part,secret,,,,,,,
月,4,month,moon,,,,,,,,
件,6,affair,case,matter,item,,,,,,
倹,10,frugal,economy,thrifty,,,,,,,
倦,11,lose,tire,,,,,,,,
健,11,healthy,health,strength,persistence,,,,,,
兼,10,concurrently,and,beforehand,in,,,,,,
券,8,ticket,,,,,,,,,
剣,10,sabre,sword,blade,clock,,,,,,
喧,12,noisy,boisterous,,,,,,,,
圏,12,sphere,circle,radius,range,,,,,,
堅,12,strict,hard,solid,tough,tight,reliable,,,,
嫌,13,dislike,detest,hate,,,,,,,
建,9,build,,,,,,,,,
憲,16,constitution,law,,,,,,,,
懸,20,state,hang,depend,consult,distant,far,,,,
拳,10,fist,,,,,,,,,
捲,11,roll,wind,coil,turn,roll,strip,be,be,,
権,15,authority,power,rights,,,,,,,
牽,11,pull,tug,drag,lead,,,,,,
犬,4,dog,,,,,,,,,
献,13,offering,counter,present,offer,,,,,,
研,9,polish,study,sharpen,,,,,,,
硯,12,inkstone,,,,,,,,,
絹,13,silk,,,,,,,,,
県,9,prefecture,,,,,,,,,
肩,8,shoulder,,,,,,,,,
見,7,see,hopes,chances,idea,opinion,look,visible,,,
謙,17,self-effacing,humble,condescend,be,,,,,,
賢,16,intelligent,wise,wisdom,cleverness,,,,,,
軒,10,flats,counter,eaves,,,,,,,
遣,13,dispatch,despatch,send,give,donate,do,undertake,,,
鍵,17,key,,,,,,,,,
険,11,precipitous,inaccessible,impregnable,steep,sharp,,,,,
顕,18,appear,existing,,,,,,,,
験,18,verification,effect,testing,,,,,,,
鹸,19,saltiness,,,,,,,,,
元,4,beginning,former,origin,,,,,,,
原,10,meadow,original,primitive,field,plain,prairie,tundra,wilderness,,
厳,17,stern,strictness,severity,rigidity,,,,,,
幻,4,phantasm,vision,dream,illusion,apparition,,,,,
弦,8,bowstring,chord,hypotenuse,,,,,,,
減,12,dwindle,decrease,reduce,decline,curtail,get,,,,
源,13,source,origin,,,,,,,,
玄,5,mysterious,occultness,black,deep,profound,,,,,
現,11,present,existing,actual,,,,,,,
絃,11,string,cord,samisen,,,,,,,
舷,11,gunwale,,,,,,,,,
言,7,say,word,,,,,,,,
諺,16,proverb,,,,,,,,,
限,9,limit,restrict,to,,,,,,,
乎,5,question,?,,,,,,,,
個,10,individual,counter,,,,,,,,
古,5,old,,,,,,,,,
呼,8,call,call,invite,,,,,,,
固,8,harden,set,clot,curdle,,,,,,
姑,8,mother-in-law,,,,,,,,,
孤,9,orphan,alone,,,,,,,,
己,3,self,,,,,,,,,
庫,10,warehouse,storehouse,,,,,,,,
弧,9,arc,arch,bow,,,,,,,
戸,4,door,counter,door,,,,,,,
故,9,happenstance,especially,intentionally,reason,cause,circumstances,the,therefore,consequently,
枯,9,wither,die,dry,be,,,,,,
湖,12,lake,,,,,,,,,
狐,9,fox,,,,,,,,,
糊,15,paste,glue,sizing,,,,,,,
袴,11,men's,,,,,,,,,
股,8,thigh,crotch,,,,,,,,
胡,9,barbarian,foreign,,,,,,,,
菰,12,reed,,,,,,,,,
虎,8,tiger,drunkard,,,,,,,,
誇,13,boast,be,pride,triumphantly,,,,,,
跨,13,be,sit,extend,straddle,,,,,,
鈷,13,cobalt,,,,,,,,,
雇,12,employ,hire,,,,,,,,
顧,21,look,review,examine,turn,,,,,,
鼓,13,drum,beat,rouse,muster,,,,,,
五,4,five,,,,,,,,,
互,4,mutually,reciprocally,together,,,,,,,
伍,6,five,five-man,file,line,,,,,,
午,4,noon,sign,11AM-1PM,seventh,,,,,,
呉,7,give,do,kingdom,,,,,,,
吾,7,I,my,our,one's,,,,,,
娯,10,recreation,pleasure,,,,,,,,
後,9,behind,back,later,,,,,,,
御,12,honorable,manipulate,govern,,,,,,,
悟,10,enlightenment,perceive,discern,realize,understand,,,,,
梧,11,Chinese,phoenix,,,,,,,,
檎,17,apple,,,,,,,,,
瑚,13,ancestral,coral,,,,,,,,
碁,13,Go,,,,,,,,,
語,14,word,speech,language,,,,,,,
誤,14,mistake,err,do,mislead,,,,,,
護,20,safeguard,protect,,,,,,,,
醐,16,boiled,,,,,,,,,
乞,3,beg,invite,ask,,,,,,,
鯉,18,carp,,,,,,,,,
交,6,mingle,mixing,association,coming,,,,,,
佼,8,beautiful,clever,deceive,sly,,,,,,
侯,9,marquis,lord,daimyo,,,,,,,
候,10,climate,season,weather,wait,expect,,,,,
倖,10,happiness,luck,,,,,,,,
光,6,ray,light,,,,,,,,
公,4,public,prince,official,governmental,,,,,,
功,5,achievement,merits,success,honor,credit,,,,,
効,8,merit,efficacy,efficiency,benefit,,,,,,
勾,4,be,slope,capture,,,,,,,
厚,9,thick,heavy,rich,kind,cordial,brazen,shameless,,,
口,3,mouth,,,,,,,,,
向,6,yonder,facing,beyond,confront,defy,tend,approach,,,
喉,12,throat,voice,,,,,,,,
坑,7,pit,hole,,,,,,,,
垢,9,dirt,grime,earwax,,,,,,,
好,6,fond,pleasing,like,,,,,,,
孔,4,cavity,hole,slit,very,great,exceedingly,,,,
孝,7,filial,child's,,,,,,,,
宏,7,wide,large,,,,,,,,
工,3,craft,construction,katakana,,,,,,,
巧,5,adroit,skilled,ingenuity,,,,,,,
巷,9,fork,scene,arena,theater,,,,,,
幸,8,happiness,blessing,fortune,,,,,,,
広,5,wide,broad,spacious,,,,,,,
庚,8,7th,7th,,,,,,,,
康,11,ease,peace,,,,,,,,
弘,5,vast,broad,wide,,,,,,,
恒,9,constancy,always,,,,,,,,
慌,12,disconcerted,be,lose,,,,,,,
抗,7,confront,resist,defy,oppose,,,,,,
拘,8,arrest,seize,concerned,adhere,despite,,,,,
控,11,withdraw,draw,hold,refrain,be,,,,,
攻,7,aggression,attack,criticize,polish,,,,,,
昂,8,rise,,,,,,,,,
晃,10,clear,,,,,,,,,
更,7,grow,night,sit,of,renew,renovate,again,more,further,
杭,8,stake,post,picket,,,,,,,
校,10,exam,school,printing,proof,correction,,,,,
梗,11,for,close,flower,,,,,,,
構,14,posture,build,pretend,,,,,,,
江,6,creek,inlet,bay,,,,,,,
洪,9,deluge,flood,vast,,,,,,,
浩,10,wide,abundance,vigorous,,,,,,,
港,12,harbor,,,,,,,,,
溝,13,gutter,ditch,sewer,drain,10**32,,,,,
甲,5,armor,high,A,first,former,instep,carapace,,,
皇,9,emperor,,,,,,,,,
硬,12,stiff,hard,,,,,,,,
稿,15,draft,copy,manuscript,straw,,,,,,
糠,17,rice,,,,,,,,,
紅,9,crimson,deep,,,,,,,,
紘,10,large,,,,,,,,,
絞,12,strangle,constrict,wring,,,,,,,
綱,14,hawser,class,rope,cord,cable,,,,,
耕,10,till,plow,cultivate,,,,,,,
考,6,consider,think,,,,,,,,
肯,8,agreement,consent,comply,,,,,,,
肱,8,ability,talent,elbow,arm,,,,,,
腔,12,body,,,,,,,,,
膏,14,fat,grease,lard,paste,ointment,plaster,,,,
航,10,navigate,sail,cruise,fly,,,,,,
荒,9,laid,rough,rude,wild,,,,,,
行,6,going,journey,carry,conduct,act,line,row,bank,,
衡,16,equilibrium,measuring,scale,,,,,,,
講,17,lecture,club,association,,,,,,,
貢,10,tribute,support,finance,,,,,,,
購,17,subscription,buy,,,,,,,,
郊,9,outskirts,suburbs,rural,,,,,,,
酵,14,fermentation,,,,,,,,,
鉱,13,mineral,ore,,,,,,,,
砿,10,ore,,,,,,,,,
鋼,16,steel,,,,,,,,,
閤,14,small,,,,,,,,,
降,10,descend,precipitate,fall,surrender,,,,,,
項,12,paragraph,nape,clause,item,term,,,,,
香,9,incense,smell,perfume,,,,,,,
高,10,tall,high,expensive,,,,,,,
鴻,17,large,wild,large,great,powerful,prosperous,,,,
剛,10,sturdy,strength,,,,,,,,
劫,7,threat,long,,,,,,,,
号,5,nickname,number,item,title,pseudonym,name,call,,,
合,6,fit,suit,join,0.1,,,,,,
壕,17,trench,dugout,air,,,,,,,
拷,9,torture,beat,,,,,,,,
濠,17,moat,ditch,canal,Australia,,,,,,
豪,14,overpowering,great,powerful,excelling,Australia,,,,,
轟,21,roar,thunder,boom,,,,,,,
麹,15,malt,yeast,,,,,,,,
克,7,overcome,kindly,skillfully,,,,,,,
刻,8,engrave,cut,chop,hash,mince,time,carving,,,
告,7,revelation,tell,inform,announce,,,,,,
国,8,country,,,,,,,,,
穀,14,cereals,grain,,,,,,,,
酷,14,cruel,severe,atrocious,unjust,,,,,,
鵠,18,swan,,,,,,,,,
黒,11,black,,,,,,,,,
獄,14,prison,jail,,,,,,,,
漉,14,manufacture,spread,strain,percolate,,,,,,
腰,13,loins,hips,waist,low,,,,,,
甑,16,rice-steaming,,,,,,,,,
忽,8,in,instantly,all,neglect,disregard,,,,,
惚,11,fall,admire,grow,,,,,,,
骨,10,skeleton,bone,remains,frame,,,,,,
狛,8,archaic,lion-dog,,,,,,,,
込,5,crowded,mixture,in,included,(kokuji),,,,,
頃,11,time,about,toward,,,,,,,
今,4,now,,,,,,,,,
困,7,quandary,become,annoyed,,,,,,,
坤,8,divination,land,earth,,,,,,,
墾,16,ground-breaking,open,,,,,,,,
婚,11,marriage,,,,,,,,,
恨,9,regret,bear,resentment,malice,hatred,,,,,
懇,17,sociable,kind,courteous,hospitable,cordial,,,,,
昏,8,dark,evening,dusk,,,,,,,
昆,8,descendants,elder,insect,,,,,,,
根,10,root,radical,head,,,,,,,
梱,11,pack,tie,bale,,,,,,,
混,11,mix,blend,confuse,,,,,,,
痕,11,mark,foot,,,,,,,,
紺,11,dark,navy,,,,,,,,
艮,6,northeast,stopping,good,,,,,,,
魂,14,soul,spirit,,,,,,,,
些,8,a,sometimes,,,,,,,,
佐,7,assistant,help,,,,,,,,
叉,3,fork,crotch,,,,,,,,
唆,10,tempt,seduce,instigate,promote,,,,,,
嵯,13,steep,craggy,rugged,,,,,,,
左,5,left,,,,,,,,,
差,10,distinction,difference,variation,discrepancy,margin,balance,,,,
査,9,investigate,,,,,,,,,
沙,7,sand,,,,,,,,,
瑳,14,polish,brilliant,artful,,,,,,,
砂,9,sand,,,,,,,,,
詐,12,lie,falsehood,deceive,pretend,,,,,,
鎖,18,chain,irons,connection,,,,,,,
裟,13,Buddhist,,,,,,,,,
坐,7,sit,,,,,,,,,
座,10,squat,seat,cushion,gathering,sit,,,,,
挫,10,crush,break,sprain,discourage,,,,,,
債,13,bond,loan,debt,,,,,,,
催,13,sponsor,hold,give,,,,,,,
再,6,again,twice,second,,,,,,,
最,12,utmost,most,extreme,,,,,,,
哉,9,how,what,alas,question,exclamation,,,,,
塞,13,close,shut,cover,block,obstruct,,,,,
妻,8,wife,spouse,,,,,,,,
宰,10,superintend,manager,rule,,,,,,,
彩,11,coloring,paint,makeup,,,,,,,
才,3,genius,years,cubic,,,,,,,
採,11,pick,take,fetch,take,,,,,,
栽,10,plantation,planting,,,,,,,,
歳,13,year-end,age,occasion,opportunity,,,,,,
済,11,settle,etc.),relieve,finish,come,excusable,need,,,
災,7,disaster,calamity,woe,curse,evil,,,,,
采,8,dice,form,appearance,take,gather,coloring,,,,
犀,12,rhinocerous,,,,,,,,,
砕,9,smash,break,crush,familiar,popular,,,,,
砦,11,fort,stronghold,entrenchments,,,,,,,
祭,11,ritual,offer,celebrate,deify,enshrine,worship,,,,
斎,11,purification,Buddhist,room,worship,avoid,alike,,,,
細,11,dainty,get,taper,slender,narrow,detailed,precise,,,
菜,11,vegetable,side,greens,,,,,,,
裁,12,tailor,judge,decision,cut,,,,,,
載,13,ride,board,get,place,spread,10**44,record,publish,,
際,14,occasion,side,edge,verge,dangerous,adventurous,indecent,time,when,
剤,10,dose,medicine,drug,,,,,,,
在,6,exist,outskirts,suburbs,located,,,,,,
材,7,lumber,log,timber,wood,materials,ingredients,talent,,,
罪,13,guilt,sin,crime,fault,blame,offense,,,,
財,10,property,money,wealth,assets,,,,,,
冴,7,be,serene,cold,skilful,,,,,,
坂,7,slope,incline,hill,,,,,,,
阪,7,heights,slope,,,,,,,,
堺,12,world,,,,,,,,,
榊,13,sacred,(kokuji),,,,,,,,
肴,8,accompaniment,,,,,,,,,
咲,9,blossom,bloom,,,,,,,,
崎,11,promontory,cape,spit,,,,,,,
埼,11,cape,spit,promontory,,,,,,,
碕,13,cape,spit,promontory,,,,,,,
鷺,24,heron,,,,,,,,,
作,7,make,production,prepare,build,,,,,,
削,9,plane,sharpen,whittle,pare,shave,,,,,
咋,8,shout,chew,eat,,,,,,,
搾,13,squeeze,,,,,,,,,
昨,9,yesterday,previous,,,,,,,,
朔,10,conjunction,first,north,,,,,,,
柵,9,stockade,fence,weir,entwine,,,,,,
窄,10,narrow,fold,furl,shrug,pucker,shut,close,,,
策,12,scheme,plan,policy,step,means,,,,,
索,10,cord,rope,searching,inquiring,,,,,,
錯,16,confused,mix,be,,,,,,,
桜,10,cherry,,,,,,,,,
鮭,17,salmon,,,,,,,,,
笹,11,bamboo,(kokuji),,,,,,,,
匙,11,spoon,,,,,,,,,
冊,5,tome,counter,volume,,,,,,,
刷,8,printing,print,brush,,,,,,,
拶,9,be,draw,,,,,,,,
撮,15,snapshot,take,,,,,,,,
擦,17,grate,rub,scratch,scrape,chafe,scour,,,,
札,5,tag,paper,counter,placard,bid,,,,,
殺,10,kill,murder,butcher,slice,split,diminish,reduce,spoil,,
薩,17,salvation,Buddha,,,,,,,,
雑,14,miscellaneous,,,,,,,,,
皐,11,swamp,shore,,,,,,,,
鯖,19,mackerel,,,,,,,,,
捌,10,handle,deal,dispose,sell,be,be,be,be,be,drainage
錆,16,rust,tarnish,,,,,,,,
鮫,17,shark,,,,,,,,,
皿,5,dish,a,plate,,,,,,,
晒,10,bleach,refine,expose,air,,,,,,
三,3,three,,,,,,,,,
傘,12,umbrella,,,,,,,,,
参,8,nonplussed,three,going,coming,visiting,visit,be,die,be,participate
山,3,mountain,,,,,,,,,
惨,11,wretched,disaster,cruelty,harsh,,,,,,
撒,15,scatter,sprinkle,give,,,,,,,
散,12,scatter,disperse,spend,squander,,,,,,
桟,10,scaffold,cleat,frame,jetty,bolt,,,,,
燦,17,brilliant,,,,,,,,,
珊,9,coral,centimeter,,,,,,,,
産,11,products,bear,give,yield,childbirth,native,property,,,
算,14,calculate,divining,number,abacus,probability,,,,,
纂,20,editing,compiling,,,,,,,,
蚕,10,silkworm,,,,,,,,,
讃,22,praise,title,,,,,,,,
賛,15,approve,praise,title,assist,agree,,,,,
酸,14,acid,bitterness,sour,tart,,,,,,
餐,16,eat,drink,swallow,,,,,,,
斬,11,beheading,kill,murder,,,,,,,
暫,15,temporarily,a,moment,long,,,,,,
残,10,remainder,leftover,balance,,,,,,,
仕,5,attend,doing,official,serve,,,,,,
仔,5,offspring,detailed,fine,,,,,,,
伺,7,pay,visit,ask,inquire,question,implore,,,,
使,8,use,send,order,messenger,envoy,ambassador,cause,,,
刺,8,thorn,pierce,stab,prick,sting,calling,,,,
司,5,director,official,govt,rule,administer,,,,,
史,5,history,chronicle,,,,,,,,
嗣,13,heir,succeed,,,,,,,,
四,5,four,,,,,,,,,
士,3,gentleman,scholar,samurai,samurai,,,,,,
始,8,commence,begin,,,,,,,,
姉,8,elder,,,,,,,,,
姿,9,figure,form,shape,,,,,,,
子,3,child,sign,11PM-1AM,first,,,,,,
屍,9,corpse,,,,,,,,,
市,5,market,city,town,,,,,,,
師,10,expert,teacher,master,model,exemplar,army,war,,,
志,7,intention,plan,resolve,aspire,motive,hopes,shilling,,,
思,9,think,,,,,,,,,
指,9,finger,point,indicate,put,play,measure,,,,
支,4,branch,support,sustain,branch,,,,,,
孜,7,industriousness,,,,,,,,,
斯,12,this,thus,such,verbal,,,,,,
施,9,give,bestow,perform,alms,,,,,,
旨,6,delicious,relish,show,purport,will,clever,expert,,,
枝,8,bough,branch,twig,limb,counter,,,,,
止,4,stop,halt,,,,,,,,
死,6,death,die,,,,,,,,
氏,4,family,surname,clan,,,,,,,
獅,13,lion,,,,,,,,,
祉,8,welfare,happiness,,,,,,,,
私,7,private,I,me,,,,,,,
糸,6,thread,,,,,,,,,
紙,10,paper,,,,,,,,,
紫,12,purple,violet,,,,,,,,
肢,8,limb,arms,,,,,,,,
脂,10,fat,grease,tallow,lard,rosin,gum,tar,,,
至,6,climax,arrive,proceed,reach,attain,result,,,,
視,11,inspection,regard,see,look,,,,,,
詞,12,part,words,poetry,,,,,,,
詩,13,poem,poetry,,,,,,,,
試,13,test,try,attempt,experiment,ordeal,,,,,
誌,14,document,records,,,,,,,,
諮,16,consult,,,,,,,,,
資,13,assets,resources,capital,funds,data,be,contribute,,,
賜,15,grant,gift,boon,results,,,,,,
雌,14,feminine,female,,,,,,,,
飼,13,domesticate,raise,keep,feed,,,,,,
歯,12,tooth,cog,,,,,,,,
事,8,matter,thing,fact,business,reason,possibly,,,,
似,7,becoming,resemble,counterfeit,imitate,suitable,,,,,
侍,8,waiter,samurai,wait,serve,,,,,,
児,7,newborn,child,young,,,,,,,
字,6,character,letter,word,section,,,,,,
寺,6,Buddhist,,,,,,,,,
慈,13,mercy,,,,,,,,,
持,9,hold,have,,,,,,,,
時,10,time,hour,,,,,,,,
滋,12,nourishing,more,be,planting,turbidity,,,,,
治,8,reign,be,calm,subdue,quell,govt,cure,heal,rule,conserve
爾,14,you,thou,second,,,,,,,
璽,19,emperor's,,,,,,,,,
痔,11,piles,hemorrhoids,,,,,,,,
磁,14,magnet,porcelain,,,,,,,,
示,5,show,indicate,point,express,display,,,,,
而,6,and,and,but,however,nevertheless,,,,,
耳,6,ear,,,,,,,,,
自,6,oneself,,,,,,,,,
蒔,13,sow,,,,,,,,,
辞,13,resign,word,term,expression,,,,,,
汐,6,eventide,tide,salt,opportunity,,,,,,
鹿,11,deer,,,,,,,,,
式,6,style,ceremony,rite,function,method,system,form,expression,,
識,19,discriminating,know,write,,,,,,,
鴫,16,snipe,(kokuji),,,,,,,,
竺,8,bamboo,,,,,,,,,
軸,12,axis,pivot,stem,stalk,counter,,,,,
宍,7,muscles,meat,,,,,,,,
雫,11,drop,trickle,dripping,(kokuji),,,,,,
七,2,seven,,,,,,,,,
叱,5,scold,reprove,,,,,,,,
執,11,tenacious,take,grasp,take,,,,,,
失,5,lose,error,fault,disadvantage,loss,,,,,
嫉,13,jealous,envy,,,,,,,,
室,9,room,apartment,chamber,greenhouse,cellar,,,,,
